# phi Vphi
0.000000000000000000e+00 1.414347359697670027e-07
3.760002897272997466e-04 1.406331026746749100e-07
7.520005794545994932e-04 1.398452376447745873e-07
1.128000869181899294e-03 1.390709523948839009e-07
1.504001158909198986e-03 1.383100621844418335e-07
1.880001448636498679e-03 1.375623859457954453e-07
2.256001738363798588e-03 1.368277462157403417e-07
2.632002028091098064e-03 1.361059690655032098e-07
3.008002317818397973e-03 1.353968840361031721e-07
3.384002607545697882e-03 1.347003240723184745e-07
3.760002897272997358e-03 1.340161254593781849e-07
4.136003187000297267e-03 1.333441277604370536e-07
4.512003476727597176e-03 1.326841737566224945e-07
4.888003766454897085e-03 1.320361093867207042e-07
5.264004056182196127e-03 1.313997836892472849e-07
5.640004345909496036e-03 1.307750487459957803e-07
6.016004635636795946e-03 1.301617596263869496e-07
6.392004925364095855e-03 1.295597743327870730e-07
6.768005215091395764e-03 1.289689537479709980e-07
7.144005504818694806e-03 1.283891615824947648e-07
7.520005794545994715e-03 1.278202643247353264e-07
7.896006084273295492e-03 1.272621311908604686e-07
8.272006374000594534e-03 1.267146340761677992e-07
8.648006663727893575e-03 1.261776475080851132e-07
9.024006953455194352e-03 1.256510485992130570e-07
9.400007243182493394e-03 1.251347170027251111e-07
9.776007532909794170e-03 1.246285348672427307e-07
1.015200782263709321e-02 1.241323867944260206e-07
1.052800811236439225e-02 1.236461597955042425e-07
1.090400840209169303e-02 1.231697432506409447e-07
1.128000869181899207e-02 1.227030288689982645e-07
1.165600898154629285e-02 1.222459106473228932e-07
1.203200927127359189e-02 1.217982848330658382e-07
1.240800956100089093e-02 1.213600498855144368e-07
1.278400985072819171e-02 1.209311064392771099e-07
1.316001014045549075e-02 1.205113572681512661e-07
1.353601043018279153e-02 1.201007072499502845e-07
1.391201071991009057e-02 1.196990633311997115e-07
1.428801100963738961e-02 1.193063344941837875e-07
1.466401129936469039e-02 1.189224317241845291e-07
1.504001158909198943e-02 1.185472679757790420e-07
1.541601187881929021e-02 1.181807581434220408e-07
1.579201216854659098e-02 1.178228190290266156e-07
1.616801245827389003e-02 1.174733693127007390e-07
1.654401274800118907e-02 1.171323295229444653e-07
1.692001303772848811e-02 1.167996220083189411e-07
1.729601332745578715e-02 1.164751709092242208e-07
1.767201361718308966e-02 1.161589021304585884e-07
1.804801390691038870e-02 1.158507433145581294e-07
1.842401419663768775e-02 1.155506238154110194e-07
1.880001448636498679e-02 1.152584746729616524e-07
1.917601477609228583e-02 1.149742285881562273e-07
1.955201506581958834e-02 1.146978198986549245e-07
1.992801535554688738e-02 1.144291845547786987e-07
2.030401564527418642e-02 1.141682600968905211e-07
2.068001593500148547e-02 1.139149856316286933e-07
2.105601622472878451e-02 1.136693018111489162e-07
2.143201651445608702e-02 1.134311508103695165e-07
2.180801680418338606e-02 1.132004763059754857e-07
2.218401709391068510e-02 1.129772234569869224e-07
2.256001738363798415e-02 1.127613388833003387e-07
2.293601767336528319e-02 1.125527706461142455e-07
2.331201796309258570e-02 1.123514682301758449e-07
2.368801825281988474e-02 1.121573825236262776e-07
2.406401854254718378e-02 1.119704658003958910e-07
2.444001883227448282e-02 1.117906717025452690e-07
2.481601912200178187e-02 1.116179552227657835e-07
2.519201941172908438e-02 1.114522726876444994e-07
2.556801970145638342e-02 1.112935817408679082e-07
2.594401999118368246e-02 1.111418413277362337e-07
2.632002028091098150e-02 1.109970116791362319e-07
2.669602057063828054e-02 1.108590542965768315e-07
2.707202086036558306e-02 1.107279319368510754e-07
2.744802115009288210e-02 1.106036085979978324e-07
2.782402143982018114e-02 1.104860495055139811e-07
2.820002172954748018e-02 1.103752210983587778e-07
2.857602201927477922e-02 1.102710910152263514e-07
2.895202230900208173e-02 1.101736280824343895e-07
2.932802259872938078e-02 1.100828023003572513e-07
2.970402288845667982e-02 1.099985848322429621e-07
3.008002317818397886e-02 1.099209479915300332e-07
3.045602346791127790e-02 1.098498652303039513e-07
3.083202375763858041e-02 1.097853111286408954e-07
3.120802404736587946e-02 1.097272613829555012e-07
3.158402433709318197e-02 1.096756927955379531e-07
3.196002462682048101e-02 1.096305832650135344e-07
3.233602491654778005e-02 1.095919117752281918e-07
3.271202520627507909e-02 1.095596583865610216e-07
3.308802549600237813e-02 1.095338042258989328e-07
3.346402578572967718e-02 1.095143314776892930e-07
3.384002607545697622e-02 1.095012233753818517e-07
3.421602636518427526e-02 1.094944641926904167e-07
3.459202665491157430e-02 1.094940392355079787e-07
3.496802694463887334e-02 1.094999348335747650e-07
3.534402723436617932e-02 1.095121383333265288e-07
3.572002752409347837e-02 1.095306380900251766e-07
3.609602781382077741e-02 1.095554234610336571e-07
3.647202810354807645e-02 1.095864847983642818e-07
3.684802839327537549e-02 1.096238134422561373e-07
3.722402868300267453e-02 1.096674017153706198e-07
