#    L    TT             EE             BB             TE          
     2   0.101615E+04   0.308800E-01   0.183649E-05   0.262096E+01
     3   0.962787E+03   0.396891E-01   0.367022E-05   0.293970E+01
     4   0.911434E+03   0.344973E-01   0.611438E-05   0.275828E+01
     5   0.873163E+03   0.230963E-01   0.917033E-05   0.235027E+01
     6   0.847113E+03   0.129531E-01   0.128394E-04   0.189415E+01
     7   0.830642E+03   0.700132E-02   0.171225E-04   0.148889E+01
     8   0.820836E+03   0.450193E-02   0.220207E-04   0.117796E+01
     9   0.816343E+03   0.360362E-02   0.275350E-04   0.966784E+00
    10   0.815726E+03   0.307512E-02   0.336668E-04   0.847375E+00
    11   0.817605E+03   0.259642E-02   0.404174E-04   0.802389E+00
    12   0.822712E+03   0.227874E-02   0.477882E-04   0.812868E+00
    13   0.829149E+03   0.219596E-02   0.557809E-04   0.855261E+00
    14   0.836750E+03   0.228762E-02   0.643969E-04   0.908453E+00
    15   0.844469E+03   0.247243E-02   0.736380E-04   0.964829E+00
    16   0.854084E+03   0.273045E-02   0.835056E-04   0.102597E+01
    17   0.865445E+03   0.310425E-02   0.940014E-04   0.108938E+01
    18   0.877407E+03   0.363748E-02   0.105127E-03   0.115380E+01
    19   0.890729E+03   0.433373E-02   0.116884E-03   0.122242E+01
    20   0.903800E+03   0.517053E-02   0.129274E-03   0.129018E+01
    21   0.917318E+03   0.614142E-02   0.142298E-03   0.136165E+01
    22   0.931311E+03   0.725732E-02   0.155959E-03   0.143715E+01
    23   0.945393E+03   0.851041E-02   0.170257E-03   0.151408E+01
    24   0.959884E+03   0.989776E-02   0.185194E-03   0.158907E+01
    25   0.974917E+03   0.114240E-01   0.200771E-03   0.165430E+01
    26   0.990004E+03   0.131014E-01   0.216990E-03   0.171334E+01
    27   0.100555E+04   0.149411E-01   0.233852E-03   0.176706E+01
    28   0.102139E+04   0.169368E-01   0.251358E-03   0.181073E+01
    29   0.103744E+04   0.191148E-01   0.269508E-03   0.184937E+01
    30   0.105389E+04   0.215033E-01   0.288305E-03   0.187630E+01
    31   0.107014E+04   0.240991E-01   0.307749E-03   0.190232E+01
    32   0.108700E+04   0.269185E-01   0.327840E-03   0.192240E+01
    33   0.110394E+04   0.299210E-01   0.348580E-03   0.193503E+01
    34   0.112093E+04   0.331315E-01   0.369970E-03   0.194125E+01
    35   0.113857E+04   0.365567E-01   0.392009E-03   0.193186E+01
    36   0.115593E+04   0.402251E-01   0.414698E-03   0.191705E+01
    37   0.117356E+04   0.441628E-01   0.438038E-03   0.189104E+01
    38   0.119155E+04   0.483581E-01   0.462029E-03   0.185588E+01
    39   0.120981E+04   0.528006E-01   0.486672E-03   0.181136E+01
    40   0.122826E+04   0.574824E-01   0.511965E-03   0.175571E+01
    41   0.124681E+04   0.624001E-01   0.537911E-03   0.168771E+01
    42   0.126546E+04   0.675665E-01   0.564508E-03   0.160833E+01
    43   0.128423E+04   0.729986E-01   0.591757E-03   0.151874E+01
    44   0.130317E+04   0.787111E-01   0.619657E-03   0.141845E+01
    45   0.132234E+04   0.847159E-01   0.648209E-03   0.130670E+01
    46   0.134171E+04   0.910203E-01   0.677411E-03   0.118315E+01
    47   0.136126E+04   0.976244E-01   0.707265E-03   0.104724E+01
    48   0.138096E+04   0.104520E+00   0.737769E-03   0.898360E+00
    49   0.140081E+04   0.111698E+00   0.768923E-03   0.735981E+00
    50   0.142085E+04   0.119161E+00   0.800727E-03   0.559699E+00
    51   0.144115E+04   0.126912E+00   0.833181E-03   0.369428E+00
    52   0.146166E+04   0.134955E+00   0.866283E-03   0.166120E+00
    53   0.148229E+04   0.143293E+00   0.900034E-03  -0.492218E-01
    54   0.150304E+04   0.151928E+00   0.934433E-03  -0.276454E+00
    55   0.152390E+04   0.160862E+00   0.969479E-03  -0.515802E+00
    56   0.154498E+04   0.170094E+00   0.100517E-02  -0.768133E+00
    57   0.156638E+04   0.179621E+00   0.104151E-02  -0.103433E+01
    58   0.158806E+04   0.189440E+00   0.107850E-02  -0.131459E+01
    59   0.160992E+04   0.199551E+00   0.111613E-02  -0.160883E+01
    60   0.163196E+04   0.209948E+00   0.115441E-02  -0.191656E+01
    61   0.165418E+04   0.220621E+00   0.119333E-02  -0.223729E+01
    62   0.167658E+04   0.231569E+00   0.123290E-02  -0.257105E+01
    63   0.169918E+04   0.242788E+00   0.127311E-02  -0.291795E+01
    64   0.172199E+04   0.254277E+00   0.131397E-02  -0.327814E+01
    65   0.174503E+04   0.266034E+00   0.135546E-02  -0.365179E+01
    66   0.176834E+04   0.278053E+00   0.139761E-02  -0.403912E+01
    67   0.179191E+04   0.290326E+00   0.144039E-02  -0.443959E+01
    68   0.181568E+04   0.302844E+00   0.148383E-02  -0.485250E+01
    69   0.183962E+04   0.315600E+00   0.152790E-02  -0.527713E+01
    70   0.186371E+04   0.328586E+00   0.157262E-02  -0.571300E+01
    71   0.188790E+04   0.341800E+00   0.161798E-02  -0.615991E+01
    72   0.191233E+04   0.355236E+00   0.166399E-02  -0.661878E+01
    73   0.193710E+04   0.368890E+00   0.171064E-02  -0.709057E+01
