#    L    TT             EE             TE             PP             TP          
     2   0.101615E+04   0.308782E-01   0.262096E+01   0.104001E+07   0.278479E+05
     3   0.962780E+03   0.396855E-01   0.293971E+01   0.160136E+07   0.332185E+05
     4   0.911423E+03   0.344913E-01   0.275830E+01   0.209874E+07   0.356760E+05
     5   0.873146E+03   0.230873E-01   0.235029E+01   0.253764E+07   0.366039E+05
     6   0.847089E+03   0.129404E-01   0.189417E+01   0.292509E+07   0.367121E+05
     7   0.830610E+03   0.698428E-02   0.148891E+01   0.326877E+07   0.363893E+05
     8   0.820795E+03   0.447997E-02   0.117798E+01   0.357474E+07   0.357927E+05
     9   0.816292E+03   0.357614E-02   0.966801E+00   0.384839E+07   0.349986E+05
    10   0.815665E+03   0.304151E-02   0.847393E+00   0.409348E+07   0.340970E+05
    11   0.817532E+03   0.255605E-02   0.802409E+00   0.431458E+07   0.331938E+05
    12   0.822626E+03   0.223099E-02   0.812893E+00   0.451261E+07   0.323066E+05
    13   0.829049E+03   0.214021E-02   0.855292E+00   0.469223E+07   0.314968E+05
    14   0.836636E+03   0.222324E-02   0.908493E+00   0.485358E+07   0.306701E+05
    15   0.844340E+03   0.239881E-02   0.964879E+00   0.500011E+07   0.298448E+05
    16   0.853939E+03   0.264695E-02   0.102604E+01   0.513236E+07   0.289874E+05
    17   0.865284E+03   0.301024E-02   0.108946E+01   0.525176E+07   0.281294E+05
    18   0.877228E+03   0.353233E-02   0.115390E+01   0.536004E+07   0.273159E+05
    19   0.890532E+03   0.421683E-02   0.122253E+01   0.545786E+07   0.265488E+05
    20   0.903584E+03   0.504124E-02   0.129032E+01   0.554575E+07   0.258196E+05
    21   0.917083E+03   0.599910E-02   0.136181E+01   0.562480E+07   0.251213E+05
    22   0.931056E+03   0.710136E-02   0.143734E+01   0.569609E+07   0.244482E+05
    23   0.945117E+03   0.834016E-02   0.151430E+01   0.576012E+07   0.237993E+05
    24   0.959586E+03   0.971259E-02   0.158934E+01   0.581731E+07   0.231751E+05
    25   0.974598E+03   0.112233E-01   0.165460E+01   0.586825E+07   0.225754E+05
    26   0.989661E+03   0.128845E-01   0.171370E+01   0.591354E+07   0.219996E+05
    27   0.100519E+04   0.147073E-01   0.176746E+01   0.595365E+07   0.214429E+05
    28   0.102100E+04   0.166857E-01   0.181119E+01   0.598895E+07   0.209016E+05
    29   0.103702E+04   0.188455E-01   0.184988E+01   0.601951E+07   0.203798E+05
    30   0.105345E+04   0.212154E-01   0.187687E+01   0.604545E+07   0.198819E+05
    31   0.106968E+04   0.237918E-01   0.190296E+01   0.606730E+07   0.194064E+05
    32   0.108651E+04   0.265913E-01   0.192311E+01   0.608563E+07   0.189506E+05
    33   0.110342E+04   0.295733E-01   0.193582E+01   0.610066E+07   0.185119E+05
    34   0.112039E+04   0.327626E-01   0.194212E+01   0.611253E+07   0.180878E+05
    35   0.113800E+04   0.361659E-01   0.193281E+01   0.612145E+07   0.176745E+05
    36   0.115533E+04   0.398120E-01   0.191809E+01   0.612766E+07   0.172703E+05
    37   0.117293E+04   0.437267E-01   0.189217E+01   0.613133E+07   0.168820E+05
    38   0.119089E+04   0.478985E-01   0.185710E+01   0.613264E+07   0.165158E+05
    39   0.120912E+04   0.523169E-01   0.181269E+01   0.613173E+07   0.161685E+05
    40   0.122754E+04   0.569740E-01   0.175714E+01   0.612869E+07   0.158344E+05
    41   0.124606E+04   0.618663E-01   0.168924E+01   0.612364E+07   0.155087E+05
    42   0.126469E+04   0.670069E-01   0.160997E+01   0.611671E+07   0.151909E+05
    43   0.128343E+04   0.724126E-01   0.152048E+01   0.610803E+07   0.148809E+05
    44   0.130233E+04   0.780981E-01   0.142030E+01   0.609772E+07   0.145792E+05
    45   0.132147E+04   0.840754E-01   0.130867E+01   0.608590E+07   0.142860E+05
    46   0.134081E+04   0.903518E-01   0.118523E+01   0.607270E+07   0.140013E+05
    47   0.136033E+04   0.969275E-01   0.104943E+01   0.605821E+07   0.137250E+05
    48   0.138000E+04   0.103794E+00   0.900667E+00   0.604252E+07   0.134566E+05
    49   0.139981E+04   0.110943E+00   0.738399E+00   0.602570E+07   0.131959E+05
    50   0.141982E+04   0.118376E+00   0.562227E+00   0.600785E+07   0.129423E+05
    51   0.144009E+04   0.126096E+00   0.372062E+00   0.598905E+07   0.126958E+05
    52   0.146056E+04   0.134109E+00   0.168857E+00   0.596934E+07   0.124565E+05
    53   0.148117E+04   0.142415E+00  -0.463844E-01   0.594880E+07   0.122248E+05
    54   0.150188E+04   0.151018E+00  -0.273520E+00   0.592747E+07   0.120010E+05
    55   0.152271E+04   0.159921E+00  -0.512774E+00   0.590541E+07   0.117856E+05
    56   0.154375E+04   0.169120E+00  -0.765018E+00   0.588267E+07   0.115786E+05
    57   0.156512E+04   0.178614E+00  -0.103113E+01   0.585929E+07   0.113793E+05
