#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101615E+04   0.262096E+01   0.298746E-02   0.262096E+01   0.308782E-01  -0.122359E-04   0.298746E-02  -0.122359E-04   0.501357E-07
     3   0.962780E+03   0.293971E+01   0.298650E-02   0.293971E+01   0.396855E-01  -0.131245E-04   0.298650E-02  -0.131245E-04   0.609950E-07
     4   0.911423E+03   0.275830E+01   0.291149E-02   0.275830E+01   0.344913E-01  -0.111105E-04   0.291149E-02  -0.111105E-04   0.702598E-07
     5   0.873146E+03   0.235029E+01   0.280979E-02   0.235029E+01   0.230873E-01  -0.757269E-05   0.280979E-02  -0.757269E-05   0.782926E-07
     6   0.847089E+03   0.189417E+01   0.270149E-02   0.189417E+01   0.129404E-01  -0.368183E-05   0.270149E-02  -0.368183E-05   0.853024E-07
     7   0.830610E+03   0.148891E+01   0.259619E-02   0.148891E+01   0.698428E-02  -0.331322E-06   0.259619E-02  -0.331322E-06   0.914737E-07
     8   0.820795E+03   0.117798E+01   0.249400E-02   0.117798E+01   0.447997E-02   0.191001E-05   0.249400E-02   0.191001E-05   0.969344E-07
     9   0.816292E+03   0.966801E+00   0.239365E-02   0.966801E+00   0.357614E-02   0.283662E-05   0.239365E-02   0.283662E-05   0.101794E-06
    10   0.815665E+03   0.847393E+00   0.229709E-02   0.847393E+00   0.304151E-02   0.262439E-05   0.229709E-02   0.262439E-05   0.106122E-06
    11   0.817532E+03   0.802409E+00   0.220858E-02   0.802409E+00   0.255605E-02   0.171639E-05   0.220858E-02   0.171639E-05   0.110013E-06
    12   0.822626E+03   0.812893E+00   0.212720E-02   0.812893E+00   0.223099E-02   0.582930E-06   0.212720E-02   0.582930E-06   0.113470E-06
    13   0.829049E+03   0.855292E+00   0.205550E-02   0.855292E+00   0.214021E-02  -0.444894E-06   0.205550E-02  -0.444894E-06   0.116594E-06
