#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104976E-04   0.197876E+08   0.197876E+08   0.263697E+08   0.263694E+08   0.197898E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.517239E+01
   0.115914E-04   0.197876E+08   0.197876E+08   0.263666E+08   0.263663E+08   0.197898E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.571113E+01
   0.127992E-04   0.197876E+08   0.197876E+08   0.263629E+08   0.263625E+08   0.197898E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.630594E+01
   0.141328E-04   0.197876E+08   0.197876E+08   0.263584E+08   0.263579E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.696264E+01
   0.156053E-04   0.197876E+08   0.197876E+08   0.263529E+08   0.263522E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.768765E+01
   0.172313E-04   0.197876E+08   0.197876E+08   0.263462E+08   0.263454E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.848803E+01
   0.190267E-04   0.197876E+08   0.197876E+08   0.263380E+08   0.263370E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.937159E+01
   0.210092E-04   0.197875E+08   0.197875E+08   0.263281E+08   0.263269E+08   0.197896E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.103469E+02
   0.231983E-04   0.197875E+08   0.197875E+08   0.263159E+08   0.263145E+08   0.197896E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.114235E+02
   0.256154E-04   0.197875E+08   0.197875E+08   0.263011E+08   0.262993E+08   0.197895E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.126117E+02
   0.282844E-04   0.197875E+08   0.197874E+08   0.262831E+08   0.262809E+08   0.197894E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473115E+00   0.104471E+08   0.104471E+08   0.139230E+02
   0.312315E-04   0.197874E+08   0.197874E+08   0.262611E+08   0.262585E+08   0.197893E+08   0.197874E+08   0.197874E+08   0.197941E+08  -0.473113E+00   0.104470E+08   0.104470E+08   0.153699E+02
   0.344857E-04   0.197874E+08   0.197874E+08   0.262343E+08   0.262311E+08   0.197892E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473112E+00   0.104470E+08   0.104470E+08   0.169664E+02
   0.380789E-04   0.197873E+08   0.197873E+08   0.262017E+08   0.261978E+08   0.197890E+08   0.197873E+08   0.197873E+08   0.197939E+08  -0.473110E+00   0.104470E+08   0.104470E+08   0.187274E+02
   0.420465E-04   0.197872E+08   0.197872E+08   0.261620E+08   0.261573E+08   0.197888E+08   0.197872E+08   0.197872E+08   0.197938E+08  -0.473108E+00   0.104469E+08   0.104469E+08   0.206696E+02
   0.464275E-04   0.197871E+08   0.197871E+08   0.261137E+08   0.261079E+08   0.197886E+08   0.197871E+08   0.197871E+08   0.197937E+08  -0.473105E+00   0.104469E+08   0.104469E+08   0.228110E+02
   0.512650E-04   0.197870E+08   0.197870E+08   0.260549E+08   0.260478E+08   0.197883E+08   0.197870E+08   0.197870E+08   0.197936E+08  -0.473102E+00   0.104468E+08   0.104468E+08   0.251713E+02
   0.566066E-04   0.197869E+08   0.197869E+08   0.259833E+08   0.259747E+08   0.197880E+08   0.197869E+08   0.197869E+08   0.197935E+08  -0.473098E+00   0.104468E+08   0.104468E+08   0.277718E+02
   0.625047E-04   0.197867E+08   0.197867E+08   0.258963E+08   0.258859E+08   0.197876E+08   0.197867E+08   0.197867E+08   0.197933E+08  -0.473093E+00   0.104467E+08   0.104467E+08   0.306356E+02
   0.690173E-04   0.197865E+08   0.197865E+08   0.257906E+08   0.257780E+08   0.197871E+08   0.197865E+08   0.197865E+08   0.197931E+08  -0.473087E+00   0.104466E+08   0.104466E+08   0.337876E+02
